Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
BRASIL DIGITAL TELECOMUNICACOES LTDA,n/a,2.642.64,L2L  LAST MILE,LINKCALL SERVICOS DE CALL CENTER S.A,1,Aracaju,SE,FIBRA,1000
DESKTOP S.A.,30,450.00,IP DEDICADO,Comgas Campinas,36,CAMPINAS,SP,FIBRA,50
ACESSOLINE TELECOMUNICAÇÕES LTDA,n/a,0.01,L2L  LAST MILE,GLOBAL SOLUCOES FINANCEIRAS LTDA,12,Araquari,SC,FIBRA,1000
ACESSOLINE TELECOMUNICAÇÕES LTDA,/28,0.01,IP DEDICADO,SEBRAE,12,Campo Grande,MS,FIBRA,400
ACESSOLINE TELECOMUNICAÇÕES LTDA,/28,0.01,IP DEDICADO,SEBRAE,12,Dourados,MS,FIBRA,400
ACESSOLINE TELECOMUNICAÇÕES LTDA,/28,0.01,IP DEDICADO,SEBRAE,12,Campo Grande,MS,FIBRA,800
ACESSOLINE TELECOMUNICAÇÕES LTDA,/28,0.01,IP DEDICADO,SEBRAE,12,Campo Grande,MS,FIBRA,800
ACESSOLINE TELECOMUNICAÇÕES LTDA,/28,0.01,IP DEDICADO,SEBRAE,12,Coxim,MS,FIBRA,400
ACESSOLINE TELECOMUNICAÇÕES LTDA,/28,0.01,IP DEDICADO,SEBRAE,12,Três Lagoas,MS,FIBRA,400
ACESSOLINE TELECOMUNICAÇÕES LTDA,/28,0.01,IP DEDICADO,SEBRAE,12,Corumbá,MS,FIBRA,400
PROSERVER TELECOMUNICACOES S.A.,30,500.00,L2L LAST MILE,SEST SENAT,0,IJUI / RS (IJI),RS,FIBRA,50
UNIFIQUE TELECOMUNICACOES S/A,0,299.00,IP DEDICADO,SOUZA CRUZ,0,POUSO REDONDO / SC (PUO),SC,FIBRA,100
DESKTOP S.A.,30,600.00,IP DEDICADO,,,,,,
AT PLUS TELECOM LTDA,30,639.90,IP DEDICADO,MERCADO LIVRE,36,LAGES,SC,FIBRA,100
ELO SOLUCOES EMPRESARIAIS LTDA,0,300.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,SAO GONCALO DO RIO ABAIXO / MG (SRX),MG,FIBRA,100
MATEUS HENRIQUE LAURANO,30,1.350.00,IP DEDICADO,Mercado Livre SVC Avare,36,AVARE / SP (AVR),SP,RÁDIO,100
ELO SOLUCOES EMPRESARIAIS LTDA,0,300.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,NOVA ERA / MG (NER),MG,FIBRA,100
K & V SERVICOS DE TELECOMUNICACOES LTDA.,n/a,4.800.00,CHIPS 4G,BANCO DO BRASIL,60,,,N/A,1
TELIUM TECNOLOGIA DA INFORMACAO LTDA,n/a,400.00,L2L  LAST MILE,SHOPEE MATRIZ,12,Barueri,SP,FIBRA,50
ACESSOLINE TELECOMUNICAÇÕES LTDA,n/a,0.01,L2L  LAST MILE,SHOPEE MATRIZ,12,Barueri,SP,FIBRA,50
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,SHOPEE,12,São José,SC,FIBRA,52
ACEM PRIME SERVICOS DE INTERNET LTDA,30,700.00,IP DEDICADO,CAR HOUSE VEÍCULOS,36,PORTO ALEGRE,RS,FIBRA,100
DESKTOP S.A.,30,600.00,IP DEDICADO,MEGA STEAM,12,Paulínia,SP,FIBRA,105
DESKTOP S.A.,30,600.00,IP DEDICADO,,,,,,
GIGANET TELECOM EIRELI,0,200.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ARAXA / MG (AXA),MG,FIBRA,100
ALLREDE PARTICIPACOES LTDA,,0.01,L2L LAST MILE | IP BANDA LARGA,TELMEX DO BRASIL S/A,12,Campo Novo do Parecis,MT,FIBRA,50
GRUPO DE SOLUCOES REDEON E SERVICOS DE MULTIMIDIA LTDA,32,300.00,IP BANDA LARGA,DIRECIONAL,12,Rio de Janeiro,RJ,FIBRA,100
ACESSOLINE TELECOMUNICAÇÕES LTDA,n/a,0.01,L2L  LAST MILE,KAMPAI,24,Chapadão do Sul,MS,FIBRA,100
CHAPNET SERVICOS DE COMUNICACAO LTDA,30,500.00,IP DEDICADO,KAMPAI,12,Chapadão do Sul,MS,FIBRA,100
ACESSOLINE TELECOMUNICAÇÕES LTDA,na,0.01,L2L  LAST MILE,Amigão Supermercados Companhia Sulamericana de Distribuicao,12,Cruzeiro do Oeste,PR,FIBRA,100
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,EXPEREO,12,,,FIBRA,1000
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,DASA,24,Rio de Janeiro,RJ,FIBRA,20
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,DASA,24,Rio de Janeiro,RJ,FIBRA,20
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,Ponta Porã,MS,FIBRA,100
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,SHOPEE,12,DUQUE DE CAXIAS / RJ (DQX),RJ,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,JSL S.A,36,,,FIBRA,50
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L  LAST MILE | L2L LAST MILE,DIMED PANVEL,36,Londrina,PR,FIBRA,50
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,PANVEL,36,,,FIBRA,52
ACESSOLINE TELECOMUNICACOES LTDA,L2L,0.01,L2L LAST MILE,EXPEREO TELECOM,36,Pomerode,SC,FIBRA,100
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP DEDICADO | L2L LAST MILE,FIDELITY NATIONAL SERVICOS E CONTACT CENTER LTDA,36,SÃO PAULO,SP,FIBRA,1000
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,L2L LAST MILE,FIDELITY NATIONAL SERVICOS E CONTACT CENTER LTDA,36,JOÃO PINHEIRO,MG,FIBRA,1000
PROSERVER TELECOMUNICACOES S.A.,30,250.00,L2L LAST MILE,AGROFEL,0,CRUZ ALTA / RS (CZA),RS,FIBRA,30
ALARES INTERNET,30,750.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,VARGINHA / MG (VGA),MG,FIBRA,40
GIGA MAIS FIBRA TELECOMUNICACOES S.A.,30,815.91,IP DEDICADO,DIRECIONAL,12,BRASILIA,DF,FIBRA,100
GMX PROVEDOR DE INTERNET SERVICOS E LOCACOES LTDA,29,450.00,IP DEDICADO,SEBRAE,12,BONITO,MS,FIBRA,400
AS INFORMATICA LTDA,0,320.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,NOVA SERRANA / MG (NVS),MG,FIBRA,15
INFOTEL ENGENHARIA & TELECOMUNICACOES SCM LTDA,0,500.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,PALMAS / TO (PMJ),TO,FIBRA,35
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,EXPEREO,12,,,FIBRA,1000
ELO SOLUCOES EMPRESARIAIS LTDA,0,300.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,PONTALINA / GO (PNN),GO,FIBRA,100
SUPERCORE TECNOLOGIA E INFORMATICA LTDA,32,1.100.00,IP DEDICADO,SHOPEE MATRIZ,12,Vitória da Conquista,BA,RÁDIO,52
ICONECT LINE -PROVEDOR DE ACESSO A INTERNET LTDA,n/a,120.00,IP BANDA LARGA,DIRECIONAL,12,Camaçari,BA,FIBRA,100
SIDI SERVICOS DE COMUNICACAO LTDA,30,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MANAUS / AM (MNS),AM,FIBRA,12
SILVA & GONCALVES INFORMATICA LTDA,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ITAPAGIPE / MG (IGY),MG,FIBRA,10
MUNDIVOX TELECOMUNICACOES LTDA,30,1.118.75,IP DEDICADO,DIRECIONAL ENGENHARIA S/A,12,Rio de Janeiro,RJ,FIBRA,200
CENTURY TELECOM,0,590.00,IP DEDICADO,DIRECIONAL  - OBRA 478,1,BELO HORIZONTE / MG (BHE),MG,FIBRA,50
CIA NET INFOR SOLUCOES EM INFORMATICA LTDA,32,542.00,IP DEDICADO,DIRECIONAL,12,Camaçari,BA,FIBRA,25
NET ONZE PROVEDOR DE ACESSO A INTERNET LTDA,0,350.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ROCA SALES / RS (ROS),RS,FIBRA,200
ELO SOLUCOES EMPRESARIAIS LTDA,0,300.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,IBIA / MG (IBY),MG,FIBRA,100
ELO SOLUCOES EMPRESARIAIS LTDA,0,400.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,UBERABA / MG (URA),MG,FIBRA,100
VANDSON DE SOUZA MOREIRA,32,1.100.00,IP DEDICADO,SHOPEE MATRIZ,12,Itabuna,BA,RÁDIO,52
