cidade,uf,servico,valor_mensal,capacidade_mb,vigencia_meses,ip_fixo,interface
Aracaju,SE,L2L  LAST MILE,0.0,1000,1,,FIBRA
Campinas,SP,IP DEDICADO,450.0,50,36,30,FIBRA
Araquari,SC,L2L  LAST MILE,0.01,1000,12,,FIBRA
Campo Grande,MS,IP DEDICADO,0.01,400,12,/28,FIBRA
Dourados,MS,IP DEDICADO,0.01,400,12,/28,FIBRA
Campo Grande,MS,IP DEDICADO,0.01,800,12,/28,FIBRA
Campo Grande,MS,IP DEDICADO,0.01,800,12,/28,FIBRA
Coxim,MS,IP DEDICADO,0.01,400,12,/28,FIBRA
Traas Lagoas,MS,IP DEDICADO,0.01,400,12,/28,FIBRA
Corumba,MS,IP DEDICADO,0.01,400,12,/28,FIBRA
Ijui / Rs (Iji),RS,L2L LAST MILE,500.0,50,0,30,FIBRA
Pouso Redondo / Sc (Puo),SC,IP DEDICADO,299.0,100,0,0,FIBRA
,,IP DEDICADO,600.0,0,0,30,
Lages,SC,IP DEDICADO,639.9,100,36,30,FIBRA
Sao Goncalo Do Rio Abaixo / Mg (Srx),MG,IP BANDA LARGA,300.0,100,0,0,FIBRA
Avare / Sp (Avr),SP,IP DEDICADO,0.0,100,36,30,RÃDIO
Nova Era / Mg (Ner),MG,IP BANDA LARGA,300.0,100,0,0,FIBRA
,,CHIPS 4G,0.0,1,60,,
Barueri,SP,L2L  LAST MILE,400.0,50,12,,FIBRA
Barueri,SP,L2L  LAST MILE,0.01,50,12,,FIBRA
Sao Josa,SC,L2L LAST MILE,0.01,52,12,,FIBRA
Porto Alegre,RS,IP DEDICADO,700.0,100,36,30,FIBRA
Paulania,SP,IP DEDICADO,600.0,105,12,30,FIBRA
,,IP DEDICADO,600.0,0,0,30,
Araxa / Mg (Axa),MG,IP BANDA LARGA,200.0,100,0,0,FIBRA
Campo Novo Do Parecis,MT,L2L LAST MILE | IP BANDA LARGA,0.01,50,12,,FIBRA
Rio De Janeiro,RJ,IP BANDA LARGA,300.0,100,12,32,FIBRA
Chapadao Do Sul,MS,L2L  LAST MILE,0.01,100,24,,FIBRA
Chapadao Do Sul,MS,IP DEDICADO,500.0,100,12,30,FIBRA
Cruzeiro Do Oeste,PR,L2L  LAST MILE,0.01,100,12,na,FIBRA
,,L2L LAST MILE,0.01,1000,12,,FIBRA
Rio De Janeiro,RJ,L2L LAST MILE,0.01,20,24,,FIBRA
Rio De Janeiro,RJ,L2L LAST MILE,0.01,20,24,,FIBRA
Ponta Pora,MS,L2L LAST MILE,0.01,100,36,,FIBRA
Duque De Caxias / Rj (Dqx),RJ,L2L LAST MILE,0.01,300,12,,FIBRA
,,L2L LAST MILE,0.01,50,36,,FIBRA
Londrina,PR,L2L  LAST MILE | L2L LAST MILE,0.01,50,36,,FIBRA
,,L2L LAST MILE,0.01,52,36,,FIBRA
Pomerode,SC,L2L LAST MILE,0.01,100,36,L2L,FIBRA
Sao Paulo,SP,IP DEDICADO | L2L LAST MILE,0.01,1000,36,0,FIBRA
Joao Pinheiro,MG,L2L LAST MILE,0.01,1000,36,0,FIBRA
Cruz Alta / Rs (Cza),RS,L2L LAST MILE,250.0,30,0,30,FIBRA
Varginha / Mg (Vga),MG,IP DEDICADO,750.0,40,0,30,FIBRA
Brasilia,DF,IP DEDICADO,815.91,100,12,30,FIBRA
Bonito,MS,IP DEDICADO,450.0,400,12,29,FIBRA
Nova Serrana / Mg (Nvs),MG,IP DEDICADO,320.0,15,0,0,FIBRA
Palmas / To (Pmj),TO,IP DEDICADO,500.0,35,0,0,FIBRA
,,L2L LAST MILE,0.01,1000,12,,FIBRA
Pontalina / Go (Pnn),GO,IP BANDA LARGA,300.0,100,0,0,FIBRA
